UserID,SessionCount
3093,331
42983,298
61810,257
5810,221
7279,216
1061,210
62946,209
2769,193
5365,193
10005,189
639,189
37960,181
9572,180
3601,179
8666,179
11179,177
38941,177
87426,177
92394,177
2969,176
33545,175
62013,175
62894,172
65194,172
6594,170
46097,169
3217,168
23970,167
7774,167
163822,166
18022,166
4645,166
6195,166
385,165
39087,165
62701,163
10400,162
90238,162
69363,161
22188,160
28318,160
51946,160
36402,157
67073,157
10758,156
1693,156
17487,156
1791,156
51673,156
71312,156
73976,155
1230,153
47586,152
4892,152
6583,152
78207,152
2028,151
76123,151
86888,151
9548,150
11095,147
1206,146
197562,146
1884,145
49043,145
24424,144
1726,143
21585,143
551,143
62799,142
64004,142
14753,140
23270,140
61968,140
1575,139
16736,139
4495,139
11984,138
155,138
25627,138
85234,138
36182,137
3787,136
11344,135
213818,135
341343,134
62121,134
120473,133
23877,133
25290,133
11389,132
918,132
101868,130
10181,129
2166,129
29261,129
36510,129
1556,128
47671,128
54114,128
11256,127
2170,127
25877,127
4875,127
9571,127
32711,126
61592,126
17203,125
19870,125
24700,125
45633,125
6116,125
17444,124
1778,124
19274,124
3844,124
5811,124
6713,124
109618,123
24280,123
812,123
73484,122
9480,122
4257,121
86336,121
11516,120
127,120
12746,120
20204,120
23564,120
3897,120
72735,120
1694,119
173916,119
40167,119
4569,119
12653,118
12931,118
164360,118
3382,118
32891,117
5943,117
64014,117
3854,116
967,116
3054,115
4747,115
5178,115
63863,115
63906,115
15482,114
1830,114
37145,114
6122,114
86684,114
2106,113
26938,113
388,113
43084,113
4805,113
98896,113
100099,112
176207,112
20776,112
2638,112
13204,111
19940,111
33066,111
5115,111
65406,111
68283,111
686,111
9394,111
9655,111
2477,110
4491,110
6464,110
6469,110
126609,109
1400,109
26184,109
123625,108
2458,108
8223,108
192514,107
46053,107
4837,107
8716,107
11025,106
14491,106
2276,106
2635,106
26723,106
31733,106
346323,106
36664,106
4274,106
52217,106
1240,105
13279,105
14168,105
2156,105
38788,105
45041,105
482,105
5828,105
71871,105
101826,104
20385,104
30430,104
4900,104
52235,104
68718,104
8418,104
119556,103
2031,103
26329,103
62232,103
13099,102
30998,102
41366,102
4708,102
103747,101
11301,101
122748,101
1300,101
1677,101
17056,101
17818,101
3090,101
37633,101
40156,101
73218,101
12006,100
15454,100
21752,100
23982,100
25109,100
26568,100
3223,100
3687,100
48939,100
57367,100
63212,100
6823,100
9228,100
106703,99
14995,99
156799,99
17258,99
174641,99
227778,99
30011,99
3820,99
39098,99
41311,99
78003,99
80009,99
8110,99
940,99
994,99
1591,98
165627,98
17612,98
25233,98
40141,98
63728,98
63729,98
6485,98
65521,98
66996,98
8157,98
159661,97
32988,97
34421,97
37918,97
5952,97
66917,97
72553,97
17878,96
183723,96
38050,96
68156,96
11195,95
11695,95
12243,95
139558,95
18502,95
19174,95
31575,95
36095,95
3978,95
43358,95
5363,95
64666,95
178710,94
17918,94
20115,94
20432,94
2659,94
27746,94
31095,94
39349,94
4174,94
5855,94
63861,94
68412,94
71608,94
73820,94
81464,94
81649,94
8748,94
104548,93
1416,93
25697,93
2809,93
5486,93
61914,93
65440,93
78603,93
93823,93
104758,92
14625,92
15893,92
2555,92
46343,92
49984,92
63384,92
63798,92
7975,92
100,91
162041,91
17627,91
2509,91
3760,91
43867,91
5624,91
6072,91
61978,91
6855,91
73444,91
9176,91
100364,90
166,90
28552,90
3074,90
32258,90
34665,90
38153,90
424,90
50884,90
56857,90
61939,90
65088,90
84740,90
1195,89
127271,89
16050,89
175890,89
1867,89
26717,89
3032,89
30978,89
3257,89
33719,89
343,89
3940,89
42639,89
59,89
70205,89
73141,89
7657,89
81189,89
8267,89
10843,88
15419,88
16622,88
19661,88
23259,88
39188,88
4478,88
558,88
5618,88
6416,88
6707,88
67409,88
11068,87
12662,87
135588,87
14251,87
2122,87
23275,87
26486,87
65831,87
72010,87
8030,87
82129,87
858,87
10617,86
114832,86
12176,86
127269,86
2589,86
2690,86
29848,86
3885,86
40335,86
43051,86
5092,86
68147,86
71165,86
7340,86
88,86
12051,85
13080,85
14043,85
17754,85
1962,85
2385,85
24591,85
27482,85
292,85
2929,85
29350,85
326502,85
452,85
53437,85
55455,85
85366,85
10825,84
11032,84
13247,84
15854,84
16042,84
25298,84
58164,84
62199,84
63776,84
66986,84
69863,84
71624,84
80224,84
8342,84
8977,84
11129,83
16335,83
17066,83
176784,83
176973,83
18570,83
23215,83
25093,83
35485,83
3917,83
42260,83
5173,83
52456,83
59921,83
6677,83
69388,83
70794,83
73270,83
11417,82
118438,82
120786,82
12171,82
12256,82
1311,82
1475,82
218,82
36757,82
37439,82
4136,82
574,82
61238,82
61951,82
62066,82
63291,82
64065,82
94682,82
9759,82
9957,82
10569,81
1070,81
13384,81
140527,81
15539,81
15808,81
17107,81
2147,81
241119,81
259,81
34212,81
37182,81
44328,81
51980,81
53291,81
5561,81
62685,81
8833,81
93901,81
10853,80
11461,80
12066,80
145289,80
15365,80
1626,80
16832,80
17202,80
1983,80
22179,80
2282,80
25475,80
291,80
32606,80
3314,80
34972,80
35898,80
3737,80
46378,80
71156,80
7638,80
80361,80
11148,79
12205,79
13068,79
137488,79
145997,79
185161,79
27221,79
2885,79
29267,79
31834,79
37150,79
3876,79
45123,79
50,79
57360,79
60386,79
608,79
62519,79
63039,79
64912,79
680,79
84146,79
96928,79
11310,78
11837,78
125014,78
12756,78
12776,78
131938,78
15393,78
15855,78
19278,78
205012,78
24678,78
25,78
3014,78
38832,78
39336,78
58965,78
6326,78
63449,78
70028,78
70808,78
93725,78
105700,77
111064,77
11759,77
1780,77
19602,77
21606,77
25332,77
26278,77
3503,77
3570,77
3579,77
386,77
41618,77
61741,77
66106,77
68401,77
80992,77
82124,77
8282,77
93076,77
1109,76
113820,76
11573,76
11644,76
15481,76
15990,76
1989,76
21682,76
2306,76
26561,76
306166,76
36925,76
37572,76
37653,76
40569,76
4177,76
62338,76
62552,76
63563,76
70048,76
7141,76
78379,76
11749,75
12680,75
144932,75
15127,75
177218,75
214372,75
21982,75
25014,75
28434,75
30338,75
30775,75
331,75
33455,75
3396,75
37755,75
4314,75
43297,75
4601,75
47439,75
